f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV0300m jV0300f jV0500m jV0500f 
27.1859 0.344298 37.1977 0.354761 45.8693 0 0 5.86073 -59.4789 1 -0 0.00585144 -59.1439 0.000135775 -108.684
27.8256 0.347714 36.4423 0.358474 45.3147 0 0 6.05628 -60.0822 1 -0 0.00604686 -59.7547 0.000138145 -108.818
28.4804 0.351068 35.687 0.362137 44.7647 0 0 6.25676 -60.6888 1 -0 0.00624721 -60.3687 0.000140551 -108.946
29.1505 0.35436 34.932 0.365749 44.2197 0 0 6.46222 -61.2983 1 -0 0.00645253 -60.9854 0.000142996 -109.07
29.8365 0.357587 34.1777 0.369309 43.68 0 0 6.67274 -61.9105 1 -0 0.00666291 -61.6046 0.00014548 -109.188
30.5386 0.360749 33.4244 0.372816 43.146 0 0 6.88838 -62.5248 1 -0 0.0068784 -62.2258 0.000148005 -109.301
31.2572 0.363843 32.6722 0.376269 42.6181 0 0 7.10921 -63.1412 1 -0 0.00709908 -62.8489 0.000150572 -109.409
31.9927 0.366869 31.9215 0.379667 42.0966 0 0 7.3353 -63.7591 1 -0 0.00732502 -63.4735 0.000153183 -109.512
32.7455 0.369826 31.1725 0.383011 41.5818 0 0 7.56672 -64.3784 1 -0 0.00755628 -64.0992 0.000155839 -109.609
33.516 0.372712 30.4254 0.3863 41.0741 0 0 7.80355 -64.9987 1 -0 0.00779295 -64.7258 0.000158542 -109.702
34.3047 0.375526 29.6804 0.389533 40.5738 0 0 8.04586 -65.6197 1 -0 0.00803508 -65.3529 0.000161295 -109.79
35.1119 0.378269 28.9377 0.392712 40.0811 0 0 8.29372 -66.2412 1 -0 0.00828277 -65.9805 0.000164098 -109.873
35.9381 0.380939 28.1975 0.395835 39.5963 0 0 8.54722 -66.8629 1 -0 0.00853609 -66.6081 0.000166953 -109.952
36.7838 0.383536 27.4601 0.398905 39.1198 0 0 8.80643 -67.4846 1 -0 0.00879512 -67.2356 0.000169863 -110.026
37.6494 0.38606 26.7254 0.40192 38.6518 0 0 9.07144 -68.1061 1 -0 0.00905994 -67.8628 0.000172829 -110.096
38.5353 0.38851 25.9938 0.404882 38.1925 0 0 9.34233 -68.7272 1 -0 0.00933063 -68.4893 0.000175854 -110.162
39.4421 0.390888 25.2653 0.407792 37.7422 0 0 9.61919 -69.3476 1 -0 0.00960729 -69.1152 0.000178939 -110.225
40.3702 0.393191 24.5401 0.410651 37.301 0 0 9.90211 -69.9672 1 -0 0.00989 -69.7401 0.000182087 -110.283
41.3201 0.395422 23.8182 0.41346 36.8693 0 0 10.1912 -70.5859 1 -0 0.0101789 -70.3639 0.000185299 -110.339
42.2924 0.397579 23.0998 0.41622 36.4471 0 0 10.4865 -71.2034 1 -0 0.010474 -70.9865 0.000188579 -110.391
43.2876 0.399664 22.385 0.418934 36.0347 0 0 10.7882 -71.8197 1 -0 0.0107754 -71.6077 0.000191928 -110.441
44.3062 0.401677 21.6737 0.421601 35.6322 0 0 11.0963 -72.4347 1 -0 0.0110833 -72.2275 0.000195349 -110.488
45.3488 0.403617 20.9661 0.424225 35.2398 0 0 11.4109 -73.0481 1 -0 0.0113977 -72.8457 0.000198843 -110.534
46.4159 0.405487 20.2622 0.426806 34.8575 0 0 11.7322 -73.6601 1 -0 0.0117187 -73.4622 0.000202413 -110.577
47.5081 0.407286 19.562 0.429347 34.4856 0 0 12.0603 -74.2704 1 -0 0.0120465 -74.077 0.000206063 -110.619
48.626 0.409015 18.8655 0.43185 34.1241 0 0 12.3952 -74.879 1 -0 0.0123812 -74.69 0.000209793 -110.659
49.7702 0.410675 18.1728 0.434317 33.7731 0 0 12.7371 -75.4859 1 -0 0.0127229 -75.3012 0.000213606 -110.699
50.9414 0.412266 17.4838 0.43675 33.4327 0 0 13.0862 -76.091 1 -0 0.0130716 -75.9106 0.000217506 -110.739
52.1401 0.41379 16.7984 0.439152 33.103 0 0 13.4424 -76.6944 1 -0 0.0134276 -76.5181 0.000221493 -110.778
53.367 0.415247 16.1167 0.441524 32.7839 0 0 13.806 -77.296 1 -0 0.0137909 -77.1237 0.000225572 -110.817
54.6228 0.416638 15.4387 0.44387 32.4755 0 0 14.1771 -77.8958 1 -0 0.0141617 -77.7274 0.000229744 -110.857
55.9081 0.417964 14.7641 0.446191 32.1779 0 0 14.5557 -78.4938 1 -0 0.01454 -78.3293 0.000234011 -110.898
57.2237 0.419225 14.093 0.448491 31.891 0 0 14.9421 -79.0902 1 -0 0.0149261 -78.9294 0.000238376 -110.939
58.5702 0.420423 13.4254 0.450772 31.6148 0 0 15.3363 -79.6848 1 -0 0.01532 -79.5278 0.000242843 -110.983
59.9484 0.421559 12.761 0.453037 31.3494 0 0 15.7386 -80.2778 1 -0 0.0157219 -80.1244 0.000247412 -111.028
61.3591 0.422632 12.0998 0.455288 31.0946 0 0 16.1489 -80.8693 1 -0 0.0161319 -80.7193 0.000252087 -111.076
62.8029 0.423645 11.4417 0.457529 30.8504 0 0 16.5675 -81.4592 1 -0 0.0165502 -81.3127 0.00025687 -111.126
64.2807 0.424597 10.7867 0.459762 30.6168 0 0 16.9945 -82.0477 1 -0 0.0169768 -81.9045 0.000261763 -111.179
65.7933 0.425491 10.1344 0.46199 30.3936 0 0 17.43 -82.6349 1 -0 0.017412 -82.495 0.00026677 -111.236
67.3415 0.426326 9.48491 0.464215 30.1808 0 0 17.8742 -83.2209 1 -0 0.0178558 -83.0842 0.000271892 -111.296
68.9261 0.427103 8.83798 0.466442 29.9783 0 0 18.3272 -83.8057 1 -0 0.0183085 -83.6721 0.000277131 -111.359
70.548 0.427823 8.1935 0.468673 29.7859 0 0 18.7892 -84.3895 1 -0 0.01877 -84.259 0.000282491 -111.428
72.2081 0.428486 7.55131 0.470911 29.6036 0 0 19.2603 -84.9724 1 -0 0.0192407 -84.8448 0.000287973 -111.5
73.9072 0.429094 6.91125 0.473159 29.4311 0 0 19.7406 -85.5545 1 -0 0.0197206 -85.4299 0.00029358 -111.577
75.6463 0.429647 6.27317 0.47542 29.2684 0 0 20.2303 -86.136 1 -0 0.0202099 -86.0142 0.000299314 -111.66
77.4264 0.430145 5.6369 0.477698 29.1152 0 0 20.7295 -86.7169 1 -0 0.0207087 -86.598 0.000305178 -111.748
79.2483 0.430588 5.00226 0.479994 28.9714 0 0 21.2383 -87.2975 1 -0 0.0212171 -87.1813 0.000311173 -111.841
81.1131 0.430979 4.36909 0.482313 28.8368 0 0 21.757 -87.8779 1 -0 0.0217353 -87.7643 0.000317301 -111.941
83.0218 0.431315 3.73721 0.484658 28.7111 0 0 22.2856 -88.4582 1 -0 0.0222635 -88.3472 0.000323566 -112.046
84.9753 0.431599 3.10643 0.487031 28.5942 0 0 22.8242 -89.0385 1 -0 0.0228017 -88.9301 0.000329968 -112.158
86.9749 0.431831 2.47658 0.489435 28.4857 0 0 23.3731 -89.6191 1 -0 0.0233501 -89.5132 0.00033651 -112.277
89.0215 0.43201 1.84747 0.491875 28.3855 0 0 23.9323 -90.2001 1 -0 0.0239088 -90.0966 0.000343194 -112.403
