F 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f
2.9836e-002 1.00000e+000 58.310 9.82878e-001 -10.618 1.00000e+000 -0.000 1.84258e-001 -163.998 1.00000e+000 116.620 3.64240e-002 179.722 3.67464e-002 172.126 2.13604e+001 -29.007 2.06114e+001 -28.909 1.00000e+000 0.000 2.45719e-001 106.002 4.85736e-002 89.722 1.00000e+000 -121.690 4.60646e-002 -100.618 2.45719e-001 -73.998 4.85736e-002 -90.278
3.0539e-002 1.00000e+000 58.310 9.82084e-001 -10.862 1.00000e+000 -0.000 1.88442e-001 -164.242 1.00000e+000 116.620 3.82246e-002 179.715 3.85477e-002 172.291 2.08704e+001 -28.944 2.01038e+001 -28.839 1.00000e+000 0.000 2.45521e-001 105.758 4.98029e-002 89.715 1.00000e+000 -121.690 4.71104e-002 -100.862 2.45521e-001 -74.242 4.98029e-002 -90.285
3.1257e-002 1.00000e+000 58.310 9.81255e-001 -11.111 1.00000e+000 -0.000 1.92713e-001 -164.491 1.00000e+000 116.620 4.01177e-002 179.707 4.04414e-002 172.453 2.03917e+001 -28.879 1.96071e+001 -28.766 1.00000e+000 0.000 2.45314e-001 105.509 5.10677e-002 89.707 1.00000e+000 -121.690 4.81783e-002 -101.111 2.45314e-001 -74.491 5.10677e-002 -90.293
3.1993e-002 1.00000e+000 58.310 9.80389e-001 -11.366 1.00000e+000 -0.000 1.97074e-001 -164.746 1.00000e+000 116.620 4.21083e-002 179.700 4.24327e-002 172.611 1.99240e+001 -28.813 1.91210e+001 -28.692 1.00000e+000 0.000 2.45097e-001 105.254 5.23694e-002 89.700 1.00000e+000 -121.690 4.92684e-002 -101.366 2.45097e-001 -74.746 5.23694e-002 -90.300
3.2745e-002 1.00000e+000 58.310 9.79483e-001 -11.626 1.00000e+000 -0.000 2.01525e-001 -165.006 1.00000e+000 116.620 4.42019e-002 179.692 4.45270e-002 172.764 1.94671e+001 -28.745 1.86453e+001 -28.616 1.00000e+000 0.000 2.44871e-001 104.994 5.37093e-002 89.692 1.00000e+000 -121.690 5.03812e-002 -101.626 2.44871e-001 -75.006 5.37093e-002 -90.308
3.3516e-002 1.00000e+000 58.310 9.78538e-001 -11.892 1.00000e+000 -0.000 2.06068e-001 -165.272 1.00000e+000 116.620 4.64043e-002 179.684 4.67301e-002 172.914 1.90208e+001 -28.676 1.81797e+001 -28.537 1.00000e+000 0.000 2.44634e-001 104.728 5.50891e-002 89.684 1.00000e+000 -121.690 5.15169e-002 -101.892 2.44634e-001 -75.272 5.50891e-002 -90.316
3.4305e-002 1.00000e+000 58.310 9.77550e-001 -12.164 1.00000e+000 -0.000 2.10704e-001 -165.543 1.00000e+000 116.620 4.87215e-002 179.676 4.90481e-002 173.060 1.85847e+001 -28.605 1.77239e+001 -28.456 1.00000e+000 0.000 2.44387e-001 104.457 5.65102e-002 89.676 1.00000e+000 -121.690 5.26759e-002 -102.164 2.44387e-001 -75.543 5.65102e-002 -90.324
3.5112e-002 1.00000e+000 58.310 9.76518e-001 -12.441 1.00000e+000 -0.000 2.15434e-001 -165.821 1.00000e+000 116.620 5.11600e-002 179.668 5.14875e-002 173.203 1.81587e+001 -28.533 1.72777e+001 -28.372 1.00000e+000 0.000 2.44130e-001 104.179 5.79744e-002 89.668 1.00000e+000 -121.690 5.38586e-002 -102.441 2.44130e-001 -75.821 5.79744e-002 -90.332
3.5938e-002 1.00000e+000 58.310 9.75441e-001 -12.724 1.00000e+000 -0.000 2.20260e-001 -166.104 1.00000e+000 116.620 5.37269e-002 179.659 5.40552e-002 173.341 1.77425e+001 -28.459 1.68408e+001 -28.286 1.00000e+000 0.000 2.43860e-001 103.896 5.94835e-002 89.659 1.00000e+000 -121.690 5.50651e-002 -102.724 2.43860e-001 -76.104 5.94835e-002 -90.341
3.6784e-002 1.00000e+000 58.310 9.74316e-001 -13.014 1.00000e+000 -0.000 2.25183e-001 -166.394 1.00000e+000 116.620 5.64294e-002 179.650 5.67586e-002 173.477 1.73359e+001 -28.383 1.64131e+001 -28.197 1.00000e+000 0.000 2.43579e-001 103.606 6.10393e-002 89.650 1.00000e+000 -121.690 5.62959e-002 -103.014 2.43579e-001 -76.394 6.10393e-002 -90.350
